OBJECTID,serial_nr_full,ttl_case_acres,commodity_txt,case_disp_txt,disp_dt,GISacres,casetype,casetype_txt,GlobalID,last_edited_date,Shape_Length,Shape_Area
70,CACA   014407,2561.25,GEOTHERMAL,AUTHORIZED,1985/02/01 00:00:00+00,2544.29203715,322000,GEO LSE COMP PRE 2005,{F9F79AA7-28DD-47F1-8845-6C8D5EF50A5E},,16612.4700168459,10296384.5709996
71,CACA   014408,693.6,GEOTHERMAL,AUTHORIZED,1985/02/01 00:00:00+00,771.95234911,322000,GEO LSE COMP PRE 2005,{1B4914B6-5024-4CB7-943B-94C8B863181D},,15332.6867504168,3123980.32178889
72,CACA   017568,633.32,GEOTHERMAL,AUTHORIZED,1979/07/01 00:00:00+00,633.74378385,322000,GEO LSE COMP PRE 2005,{B90E50E5-0841-4A07-A211-4718869940E4},,6405.5899198409,2564670.1018269
73,CACA   049122,320,GEOTHERMAL,AUTHORIZED,2007/10/01 00:00:00+00,334.34551665,322200,GEO LSE COMP POST 2005,{F77A47AE-9C29-47EE-8812-AB324AE36B6A},,7373.65402858692,1353048.30134649
74,CACA   050999,948.93,GEOTHERMAL,AUTHORIZED,2009/10/01 00:00:00+00,935.43154021,322200,GEO LSE COMP POST 2005,{9F153345-C392-46C5-A460-23969730363A},,14610.4115528564,3785557.13622055
75,CACA   055559,2585.46,GEOTHERMAL,AUTHORIZED,2014/10/01 00:00:00+00,2616.44955078,322200,GEO LSE COMP POST 2005,{8FB20B26-B790-4B8F-A346-5C16A408E3E0},,26036.2121048647,10588395.6684724
76,NVN    100985,3400,GEOTHERMAL,PENDING,2021/12/10 00:00:00+00,3400.5624344,323000,GEO NOMINATION,{7C58E4E1-195D-4A6B-A3B4-7475CDF1DFBF},,24131.6860080715,13761587.9274193
77,CACA   043993,2540,GEOTHERMAL,AUTHORIZED,2020/12/01 00:00:00+00,2404.28434439,321000,GEO LSE NONCOMP PRE 2005,{30290D22-3A99-4261-8933-AC015DF12E03},,16090.0251859574,9729793.54036532
78,CACA   043998,1280,GEOTHERMAL,PENDING,2002/02/04 00:00:00+00,1285.92100758,321000,GEO LSE NONCOMP PRE 2005,{49BA43FD-1605-4C5E-B1B2-A83D35D0D770},,9667.79503125935,5203937.68822597
79,CACA   044082,640,GEOTHERMAL,PENDING,2002/02/21 00:00:00+00,647.5203674,321000,GEO LSE NONCOMP PRE 2005,{7E86F152-C99E-433E-90FC-9C2F30D2CE6B},,6490.04088062519,2620421.95744549
80,CACA   012366,1201.12,GEOTHERMAL,AUTHORIZED,1982/05/01 00:00:00+00,1201.43449152,322300,GEO LEASE - COMPETITIVE C,{B558E2D1-5F50-4F20-918B-BD1A8740D620},,12882.3376226644,4862032.88808103
81,CACA   012367,160,GEOTHERMAL,AUTHORIZED,1982/05/01 00:00:00+00,487.30068368,322300,GEO LEASE - COMPETITIVE C,{52398C91-AF6D-4ABE-AB5C-50EE22485258},,6486.1377855785,1972035.90139015
82,CACA   012368,2077.48,GEOTHERMAL,AUTHORIZED,1982/06/01 00:00:00+00,2105.54841816,322300,GEO LEASE - COMPETITIVE C,{8A190185-E552-4E7E-917F-B79EF77B57F5},,20995.6567073429,8520852.13870313
83,CACA   012369,1958.74,GEOTHERMAL,AUTHORIZED,1982/06/01 00:00:00+00,1972.14153553,322300,GEO LEASE - COMPETITIVE C,{D3A9C144-8C03-4B89-9C6A-1213DE99F44D},,17998.7270670562,7980973.63893403
84,CACA   012370,1319.92,GEOTHERMAL,AUTHORIZED,1982/05/01 00:00:00+00,1324.02511543,322300,GEO LEASE - COMPETITIVE C,{18600AF7-C3C1-443F-9B7B-6391D8768B13},,9817.75584537397,5358139.54178386
85,CACA   012371,2582,GEOTHERMAL,AUTHORIZED,1982/06/01 00:00:00+00,2581.84166725,322300,GEO LEASE - COMPETITIVE C,{AE099B2B-368D-4220-9F64-3F2B5AF6B28E},,16243.1288850602,10448342.5327453
86,CACA   012372,2560,GEOTHERMAL,AUTHORIZED,1982/06/01 00:00:00+00,2596.62536948,322300,GEO LEASE - COMPETITIVE C,{2FCCC063-38FE-420C-829E-13ADD35F36DA},,16200.8395448081,10508170.0530591
87,CACA   013802,920,GEOTHERMAL,AUTHORIZED,1983/07/01 00:00:00+00,931.73255873,322300,GEO LEASE - COMPETITIVE C,{81964AEE-BE62-4026-9FD8-2CB4A96D8484},,9793.08355199722,3770587.88927505
88,CACA   013803,640,GEOTHERMAL,AUTHORIZED,1983/07/01 00:00:00+00,650.10543096,322300,GEO LEASE - COMPETITIVE C,{1588D5E5-C6BB-4DCF-968E-1593D83FC0AD},,6488.02119211625,2630883.33853415
89,CACA   013958,480,GEOTHERMAL,AUTHORIZED,1983/07/01 00:00:00+00,1297.80942768,322300,GEO LEASE - COMPETITIVE C,{BB77FEDA-3E9C-477E-863E-B3DD0F56BF83},,9713.72786530528,5252048.41746956
90,CACA   021925,2401.48,GEOTHERMAL,AUTHORIZED,1988/06/01 00:00:00+00,2400.6898928,322300,GEO LEASE - COMPETITIVE C,{9CDA31CA-8198-4BD1-B77E-CD8E8AD68E4A},,17729.5311239151,9715247.31085117
91,CACA   021926,960,GEOTHERMAL,AUTHORIZED,1988/06/01 00:00:00+00,959.86619378,322300,GEO LEASE - COMPETITIVE C,{91670C4B-DFC9-4D54-9F07-C977051B806B},,9665.460913206,3884440.67093826
92,CACA   021929,637,GEOTHERMAL,AUTHORIZED,1988/07/01 00:00:00+00,639.8004494,322300,GEO LEASE - COMPETITIVE C,{6A349D81-D52C-45E8-8F98-A0CAA183A675},,6436.30056685283,2589180.55772329
93,CACA   021932,320,GEOTHERMAL,AUTHORIZED,1988/06/01 00:00:00+00,320.53888056,322300,GEO LEASE - COMPETITIVE C,{3DD879D7-0213-4442-B48A-D42D5706BB80},,4831.51852621375,1297174.82741624
94,CACA   021933,664,GEOTHERMAL,AUTHORIZED,1988/07/01 00:00:00+00,668.32738147,322300,GEO LEASE - COMPETITIVE C,{21887665-A8FC-45C4-98A0-C627294DCDA3},,6579.74331761269,2704624.95598206
95,CACA   039725,720.44,GEOTHERMAL,AUTHORIZED,1982/05/01 00:00:00+00,721.37504101,322300,GEO LEASE - COMPETITIVE C,{AB77D3CE-2FB5-44B1-A0F3-99B11F9E352A},,7251.96851166388,2919301.21768344
96,CACA   039726,320,GEOTHERMAL,AUTHORIZED,1982/05/01 00:00:00+00,324.85604658,322300,GEO LEASE - COMPETITIVE C,{F269278A-4297-498F-9857-A2CFA026D207},,4868.19815390677,1314645.77843938
97,CACA   039727,2080,GEOTHERMAL,AUTHORIZED,1982/05/01 00:00:00+00,2099.57804788,322300,GEO LEASE - COMPETITIVE C,{6948A8AF-E033-483B-8444-98C3D2E0A2C1},,12942.6659048113,8496690.90739858
98,CACA   039728,478.56,GEOTHERMAL,AUTHORIZED,1982/06/01 00:00:00+00,478.9419211,322300,GEO LEASE - COMPETITIVE C,{905C0093-422B-4BA9-AF7D-82BBB7DD1565},,9652.45234257429,1938209.18935331
99,CACA   039729,1278.82,GEOTHERMAL,AUTHORIZED,1982/05/01 00:00:00+00,1305.11548879,322300,GEO LEASE - COMPETITIVE C,{5C96EA3A-954C-4FFA-B3AA-96F10C88A2FF},,9781.28261185081,5281614.99778446
100,CACA   040830,160,GEOTHERMAL,AUTHORIZED,1983/07/01 00:00:00+00,162.57440742,322300,GEO LEASE - COMPETITIVE C,{3F132921-1EDE-4677-B89E-08CA984305E0},,3244.4868946259,657915.284767182
101,CACA   040831,640,GEOTHERMAL,AUTHORIZED,1983/07/01 00:00:00+00,649.01385605,322300,GEO LEASE - COMPETITIVE C,{1F1858A7-6E2E-4D9E-93FB-E5D2E60FBAE6},,8090.22486267897,2626465.89156462
